formula_gubpi,output_faza,time_faza,output_gubpi,time_gubpi,output_latte,time_latte,output_psi,time_psi,output_volesti,time_volesti
(0.12*x**3+0.96*x**2+0.6*x**1+5.96*x**0)**(1/2),"(2.5227294921874934, 2.6225195312499947)",30.569,"(2.568768223149895, 2.5697472125951513)",0.6,N\S,0.0,"E[p_] = 1/(-Integrate[Boole[-1+xi1<=0]*Boole[-xi1<=0]*Boole[149+15*xi1+24*xi1^2+3*xi1^3!=0]*Boole[149+15*xi1+24*xi1^2+3*xi1^3<=0],{xi1,-Infinity,Infinity}]+1)*Integrate[(149/25+24/25*xi1^2+3/25*xi1^3+3/5*xi1)^(1/2)*Boole[-1+xi1<=0]*Boole[-149+-15*xi1+-24*xi1^2+-3*xi1^3<=0]*Boole[-xi1<=0],{xi1,-Infinity,Infinity}]	Pr[error] = Integrate[Boole[-1+xi1<=0]*Boole[-xi1<=0]*Boole[149+15*xi1+24*xi1^2+3*xi1^3!=0]*Boole[149+15*xi1+24*xi1^2+3*xi1^3<=0],{xi1,-Infinity,Infinity}]",0.052,"(nan, nan)",0.0
(9.73*x**0)**(1/2),"(3.091697998046893, 3.1913200378418134)",6.47,"Command '['./app/GuBPI', 'experimental_results/gubpi_template_bench_sqrt_21.spcf']' died with <Signals.SIGABRT: 6>.",0.338,N\S,0.0,E[p_] = (973/100)^(1/2),0.029,"(nan, nan)",0.0
(7.19*x**1+9.17*x**0)**(1/2),"(3.511660919189449, 3.6114520263671817)",10.804,"(3.3578846017480046, 3.5624515973285464)",0.438,N\S,0.0,E[p_] = (409/25)^(3/2)*200/2157+-(917/100)^(3/2)*200/2157,0.049,"(nan, nan)",0.0
(7.58*x**2+2.52*x**1+0.69*x**0)**(1/2),"(1.9384988403320333, 2.0383544158935587)",9.596,"(1.9853927085124976, 1.9897456325477008)",0.49,N\S,0.0,"E[p_] = 1/Integrate[1/(-18213/1250+758/25*xi1^2)^(1/2)*Boole[(-18213/1250+758/25*xi1^2)^(1/2)+-442/25<=0]*Boole[(18213/37900)^(1/2)+-xi1!=0]*Boole[(18213/37900)^(1/2)+-xi1<=0]*Boole[-(-18213/1250+758/25*xi1^2)^(1/2)+63/25<=0]*xi1,{xi1,-Infinity,Infinity}]*Boole[Integrate[1/(-18213/1250+758/25*xi1^2)^(1/2)*Boole[(-18213/1250+758/25*xi1^2)^(1/2)+-442/25<=0]*Boole[(18213/37900)^(1/2)+-xi1!=0]*Boole[(18213/37900)^(1/2)+-xi1<=0]*Boole[-(-18213/1250+758/25*xi1^2)^(1/2)+63/25<=0]*xi1,{xi1,-Infinity,Infinity}]!=0]*Integrate[1/(-18213/1250+758/25*xi1^2)^(1/2)*Boole[(-18213/1250+758/25*xi1^2)^(1/2)+-442/25<=0]*Boole[(18213/37900)^(1/2)+-xi1!=0]*Boole[(18213/37900)^(1/2)+-xi1<=0]*Boole[-(-18213/1250+758/25*xi1^2)^(1/2)+63/25<=0]*xi1^2,{xi1,-Infinity,Infinity}]	Pr[error] = Boole[Integrate[1/(-18213/1250+758/25*xi1^2)^(1/2)*Boole[(-18213/1250+758/25*xi1^2)^(1/2)+-442/25<=0]*Boole[(18213/37900)^(1/2)+-xi1!=0]*Boole[(18213/37900)^(1/2)+-xi1<=0]*Boole[-(-18213/1250+758/25*xi1^2)^(1/2)+63/25<=0]*xi1,{x",1.757,"(nan, nan)",0.0
(4.74*x**0)**(1/2),"(2.1223535156249977, 2.221874999999997)",4.308,"Command '['./app/GuBPI', 'experimental_results/gubpi_template_bench_sqrt_24.spcf']' died with <Signals.SIGABRT: 6>.",0.386,N\S,0.0,E[p_] = (237/50)^(1/2),0.025,"(nan, nan)",0.0
(7.41*x**3+6.96*x**2+3.95*x**1+8.95*x**0)**(1/2),"(3.7790853881835726, 3.879055137634255)",54.398,"(2.1236712397082096, 3.8320538164156033)",0.516,N\S,0.0,"E[p_] = 1/(-Integrate[Boole[-1+xi1<=0]*Boole[-xi1<=0]*Boole[395*xi1+696*xi1^2+741*xi1^3+895!=0]*Boole[395*xi1+696*xi1^2+741*xi1^3+895<=0],{xi1,-Infinity,Infinity}]+1)*Integrate[(174/25*xi1^2+179/20+741/100*xi1^3+79/20*xi1)^(1/2)*Boole[-1+xi1<=0]*Boole[-395*xi1+-696*xi1^2+-741*xi1^3+-895<=0]*Boole[-xi1<=0],{xi1,-Infinity,Infinity}]	Pr[error] = Integrate[Boole[-1+xi1<=0]*Boole[-xi1<=0]*Boole[395*xi1+696*xi1^2+741*xi1^3+895!=0]*Boole[395*xi1+696*xi1^2+741*xi1^3+895<=0],{xi1,-Infinity,Infinity}]",0.042,"(nan, nan)",0.0
(3.62*x**0)**(1/2),"(1.8232568359374997, 1.923124999999999)",4.79,"Command '['./app/GuBPI', 'experimental_results/gubpi_template_bench_sqrt_26.spcf']' died with <Signals.SIGABRT: 6>.",0.339,N\S,0.0,E[p_] = (181/50)^(1/2),0.025,"(nan, nan)",0.0
(4.5*x**3+7.2*x**2+5.79*x**1+6.67*x**0)**(1/2),"(3.502934570312521, 3.602931518554712)",48.556,"(2.2577693622905226, 3.555554029790924)",0.594,N\S,0.0,"E[p_] = 1/(-Integrate[Boole[-1+xi1<=0]*Boole[-xi1<=0]*Boole[450*xi1^3+579*xi1+667+720*xi1^2!=0]*Boole[450*xi1^3+579*xi1+667+720*xi1^2<=0],{xi1,-Infinity,Infinity}]+1)*Integrate[(36/5*xi1^2+579/100*xi1+667/100+9/2*xi1^3)^(1/2)*Boole[-1+xi1<=0]*Boole[-450*xi1^3+-579*xi1+-667+-720*xi1^2<=0]*Boole[-xi1<=0],{xi1,-Infinity,Infinity}]	Pr[error] = Integrate[Boole[-1+xi1<=0]*Boole[-xi1<=0]*Boole[450*xi1^3+579*xi1+667+720*xi1^2!=0]*Boole[450*xi1^3+579*xi1+667+720*xi1^2<=0],{xi1,-Infinity,Infinity}]",0.04,"(nan, nan)",0.0
(6.6*x**2+1.77*x**1+6.51*x**0)**(1/2),"(3.0251110839843656, 3.1250134277343657)",10.485,"(3.0711763129630576, 3.074393085270832)",0.505,N\S,0.0,"E[p_] = 1/Integrate[1/(-1687311/10000+132/5*xi1^2)^(1/2)*Boole[(-1687311/10000+132/5*xi1^2)^(1/2)+-1497/100<=0]*Boole[(562437/88000)^(1/2)+-xi1!=0]*Boole[(562437/88000)^(1/2)+-xi1<=0]*Boole[-(-1687311/10000+132/5*xi1^2)^(1/2)+177/100<=0]*xi1,{xi1,-Infinity,Infinity}]*Boole[Integrate[1/(-1687311/10000+132/5*xi1^2)^(1/2)*Boole[(-1687311/10000+132/5*xi1^2)^(1/2)+-1497/100<=0]*Boole[(562437/88000)^(1/2)+-xi1!=0]*Boole[(562437/88000)^(1/2)+-xi1<=0]*Boole[-(-1687311/10000+132/5*xi1^2)^(1/2)+177/100<=0]*xi1,{xi1,-Infinity,Infinity}]!=0]*Integrate[1/(-1687311/10000+132/5*xi1^2)^(1/2)*Boole[(-1687311/10000+132/5*xi1^2)^(1/2)+-1497/100<=0]*Boole[(562437/88000)^(1/2)+-xi1!=0]*Boole[(562437/88000)^(1/2)+-xi1<=0]*Boole[-(-1687311/10000+132/5*xi1^2)^(1/2)+177/100<=0]*xi1^2,{xi1,-Infinity,Infinity}]	Pr[error] = Boole[Integrate[1/(-1687311/10000+132/5*xi1^2)^(1/2)*Boole[(-1687311/10000+132/5*xi1^2)^(1/2)+-1497/100<=0]*Boole[(562437/88000)^(1/2)+-xi1!=0]*Boole[(562437/88000)^(1/2)+-xi1<=0]*Boole[-(-168",1.311,"(nan, nan)",0.0
(8.64*x**0)**(1/2),"(2.870463867187488, 2.969999999999989)",6.04,"Command '['./app/GuBPI', 'experimental_results/gubpi_template_bench_sqrt_29.spcf']' died with <Signals.SIGABRT: 6>.",0.32,N\S,0.0,E[p_] = (216/25)^(1/2),0.024,"(nan, nan)",0.0
