formula_gubpi,output_faza,time_faza,output_gubpi,time_gubpi,output_latte,time_latte,output_psi,time_psi,output_volesti,time_volesti
(100/(4.0*x**2 + 9.0*x + 16.0)),"(4.667854309082031, 4.767608642578125)",31.837,"(0.9276544191989637, 4.720628468359892)",0.388,nan,0.021,E[p_] = 20/11,0.034,"(4.7358709999999995, 0.21733241246762985)",0.073
(100/( (4.0+x) * (x+9.0) )),"(2.303059895833335, 2.4027506510416683)",24.097,"(2.3546278000721466, 2.356693662997182)",0.392,nan,0.025,E[p_] = -1/100^(2/3)*50/33+50/33,0.044,"(2.363927, 0.12954595995630272)",0.075
((1/x)**(1/2)),"(1.7499117851257324, 1.84989595413208)",119.974,"(1.5129147687923277, 1.8208096162128216)",0.35,nan,0.0,E[p_] = -101^(1/2)*Boole[-1/101^(1/2)*10+1/2^(1/2)<=0]*20/99+200/99*2^(1/2)*Boole[-1/101^(1/2)*10+1/2^(1/2)<=0]	Pr[error] = Boole[-1/2^(1/2)+1/101^(1/2)*10!=0]*Boole[-1/2^(1/2)+1/101^(1/2)*10<=0],0.036,"(nan, nan)",0.0
((1/x)**(1/3)),"(1.3795030117034912, 1.4794871807098389)",530.127,nan,0.0,nan,0.0,"E[p_] = 1/Integrate[1/(1+1/xi1^2)^(1/2)*1/xi1^3*Boole[(1+1/xi1^2)^(1/2)+-2<=0]*Boole[-(1+1/xi1^2)^(1/2)+101/100<=0]*Boole[-xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]*Boole[Integrate[1/(1+1/xi1^2)^(1/2)*1/xi1^3*Boole[(1+1/xi1^2)^(1/2)+-2<=0]*Boole[-(1+1/xi1^2)^(1/2)+101/100<=0]*Boole[-xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]!=0]*Integrate[1/(1+1/xi1^2)^(1/2)*1/xi1^2*Boole[(1+1/xi1^2)^(1/2)+-2<=0]*Boole[-(1+1/xi1^2)^(1/2)+101/100<=0]*Boole[-xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]	Pr[error] = Boole[Integrate[1/(1+1/xi1^2)^(1/2)*1/xi1^3*Boole[(1+1/xi1^2)^(1/2)+-2<=0]*Boole[-(1+1/xi1^2)^(1/2)+101/100<=0]*Boole[-xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]==0]",0.37,"(nan, nan)",0.0
((1/(x+1))**(1/2)),"(0.765779702970297, 0.8595877165841582)",13.381,"(0.8266129039158656, 0.8268254846338479)",0.374,nan,0.0,nan,0.0,"(nan, nan)",0.0
(1/(x**2-1))**(1/2),"(1.1269996415323587, 1.226956097047753)",359.521,"(1.0781575222777833, 1.1899655981254975)",0.403,nan,0.0,nan,0.0,"(nan, nan)",0.0
(1/(x+y)),nan,0.0,"(0.9060811781674457, 1.5703531908659134)",0.438,nan,0.021,E[p_] = -200/9801*Log[50]+-20200/9801*Log[101]+20000/9801*Log[2]+20200/9801*Log[100],0.058,"(1.3343390000000002, 0.11129438462474192)",0.078
(1/(x+y+(x*y))),nan,0.0,"(0.7554629140929581, 1.41457907058147)",0.468,nan,0.029,"E[p_] = 1/Integrate[1/(1+1/xi1)^(1/2)*1/xi1^2*Boole[(1+1/xi1)^(1/2)+-2<=0]*Boole[-(1+1/xi1)^(1/2)+101/100<=0]*Boole[-1+-1/xi1!=0]*Boole[-1+-1/xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]*Boole[Integrate[1/(1+1/xi1)^(1/2)*1/xi1^2*Boole[(1+1/xi1)^(1/2)+-2<=0]*Boole[-(1+1/xi1)^(1/2)+101/100<=0]*Boole[-1+-1/xi1!=0]*Boole[-1+-1/xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]!=0]*Integrate[1/(1+1/xi1)^(1/2)*1/xi1*Boole[(1+1/xi1)^(1/2)+-2<=0]*Boole[-(1+1/xi1)^(1/2)+101/100<=0]*Boole[-1+-1/xi1!=0]*Boole[-1+-1/xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]	Pr[error] = Boole[Integrate[1/(1+1/xi1)^(1/2)*1/xi1^2*Boole[(1+1/xi1)^(1/2)+-2<=0]*Boole[-(1+1/xi1)^(1/2)+101/100<=0]*Boole[-1+-1/xi1!=0]*Boole[-1+-1/xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]==0]",0.11,"(1.1592190000000002, 0.06039508116560486)",0.089
(1/(x+y+z)),nan,0.0,"(0.4011848654728736, 1.3534406747150967)",0.497,nan,0.025,"E[p_] = Integrate[(1+xi1+xi1^2)*1/(1+xi1^3)*Boole[-1+-xi1^3!=0]*Boole[-1+xi1<=0]*Boole[-xi1<=0],{xi1,-Infinity,Infinity}]",0.033,"(0.7697847, 0.03794811266202838)",0.094
(1/(x+y))**(1/2),nan,0.0,"(0.9845323602149237, 1.199219121802692)",0.486,nan,0.0,nan,0.0,"(nan, nan)",0.0
((x**2 + 2*y**2 + 3*y*x + x + 1)*1/(2*y**2 + y*x + y + 2)),nan,0.0,"(0.8104365442264316, 1.0673079216973802)",0.549,nan,0.037,nan,0.0,"(0.9196054, 0.05046499335618701)",0.089
