example,integrand,degree,hrect_checked_num,total_solver_time,total_subs_time,threshold,max_workers
example8.py,1.00000000000000,0,1,0.03694605827331543,0.0049190521240234375,0.5,16
example8.py,1.00000000000000,0,1,0.035086631774902344,0.004813671112060547,0.5,16
example8.py,1.00000000000000,0,1,0.02191615104675293,0.004532575607299805,0.5,16
example8.py,1.00000000000000,0,1,0.03631234169006348,0.005510807037353516,0.5,16
example8.py,1.00000000000000,0,1,0.023481369018554688,0.005033969879150391,0.5,16
example8.py,1.00000000000000,0,1,0.036103248596191406,0.004845857620239258,0.5,16
example8.py,1.00000000000000,0,1,0.023128271102905273,0.005051851272583008,0.5,16
example8.py,1.00000000000000,0,1,0.034108877182006836,0.005753517150878906,0.5,16
example8.py,1.00000000000000,0,1,0.02332472801208496,0.004935264587402344,0.5,16
example8.py,1.00000000000000,0,1,0.022809743881225586,0.00437474250793457,0.5,16
example8.py,1.00000000000000,0,1,0.03633403778076172,0.0045392513275146484,0.5,16
example8.py,1.00000000000000,0,1,0.06245732307434082,0.004326343536376953,0.5,16
example8.py,1.00000000000000,0,1,0.023116350173950195,0.004651546478271484,0.5,16
example_aliases.py,x - 2.0,1,596,12.256340026855469,5.610626697540283,0.5,16
example_board.py,x*y,2,19067,1028.245360136032,1626.3448159694672,0.5,16
example_board.py,2.0*x*y,2,1956,103.2683801651001,152.77619647979736,0.5,16
example_board.py,4.0*x*y,2,35002,1870.1045775413513,2949.0351872444153,0.5,16
example_board.py,3.0*x*y,2,9925,525.165073633194,823.0010368824005,0.5,16
example_convert.py,3.0*x1 - 5.0*x2,1,1841,40.81655669212341,22.520145416259766,0.5,16
example_convert.py,-2.0*x1 + 3.0*x2,1,200,4.734415292739868,2.285952568054199,0.5,16
example_convert.py,-1.0*x1 + 3.0*x2,1,2066,44.70867657661438,22.644431114196777,0.5,16
example_convert.py,-1.0*x1 - 5.0*x2,1,5456,118.2281379699707,62.82034945487976,0.5,16
example_convert.py,3.0*x1 + 3.0*x2,1,824,17.951744079589844,9.64345908164978,0.5,16
example_convert.py,-2.0*x1 - 5.0*x2,1,839,18.019887447357178,9.134555339813232,0.5,16
example_convert2.py,9.0*x1*x2,2,10612,574.8193018436432,878.2831077575684,0.5,16
example_convert2.py,2.0*x1*x2,2,1832,97.4300901889801,145.095153093338,0.5,16
example_convert2.py,2.0*x1*x2,2,2001,106.18430519104004,162.35739994049072,0.5,16
example_convert2.py,12.0*x1*x2,2,20893,1118.5302538871765,1777.389102935791,0.5,16
example_convert2.py,12.0*x1*x2,2,20950,1111.5360226631165,1796.7398359775543,0.5,16
example_convert2.py,16.0*x1*x2,2,35178,1877.8485639095306,2989.646852493286,0.5,16
example_convert2.py,x1*x2,2,402,21.27259135246277,29.179165601730347,0.5,16
example_convert2.py,4.0*x1*x2,2,7759,427.2710270881653,641.0544111728668,0.5,16
example_euf0.py,x*y,2,19010,1010.1760377883911,1625.4276616573334,0.5,16
example_euf0.py,2.0*x*y,2,1927,102.74331140518188,154.12962126731873,0.5,16
example_euf0.py,4.0*x*y,2,36267,1936.2648296356201,3159.5182173252106,0.5,16
example_euf0.py,3.0*x*y,2,9767,518.3111655712128,827.9301998615265,0.5,16
example_euf1.py,12.0*x1**2*x2,3,0,0,0,0.5,16
example_euf1.py,16.0*x1*x2,2,0,0,0,0.5,16
example_euf1.py,9.0*x1**2*x2**2,4,0,0,0,0.5,16
example_euf1.py,9.0*x1**2*x2**2,4,0,0,0,0.5,16
example_euf1.py,12.0*x1*x2**2,3,0,0,0,0.5,16
example_euf1.py,12.0*x1**2*x2,3,17377,4812.937579154968,14359.501265764236,0.5,16
example_euf1.py,12.0*x1**2*x2,3,17895,4944.391265630722,14779.598233222961,0.5,16
example_euf2.py,x*y,2,10394,553.7403407096863,905.8223099708557,0.5,16
example_euf2.py,x**2*y,3,2066,579.9657146930695,1742.00066781044,0.5,16
example_euf2.py,x**2*y,3,2114,597.4644982814789,1793.3182661533356,0.5,16
example_euf2.py,x*y,2,26514,1434.6352727413177,2361.3507595062256,0.5,16
example_euf2.py,x*y,2,29089,1593.4793074131012,2627.28377866745,0.5,16
example_euf2.py,x*y,2,302679,16416.78428530693,27652.152802705765,0.5,16
example_euf2.py,2.0*x + y,1,46175,1050.751915693283,621.8276574611664,0.5,16
example_euf2.py,x**2*y,3,7374,2012.7996757030487,5962.334742307663,0.5,16
example_euf3.py,9.0*x1*x2,2,11611,620.9715144634247,979.1143314838409,0.5,16
example_euf3.py,2.0*x1*x2,2,1794,96.49191045761108,148.12016940116882,0.5,16
example_euf3.py,2.0*x1*x2,2,1847,98.7107264995575,152.475905418396,0.5,16
example_euf3.py,12.0*x1*x2,2,20977,1134.2350978851318,1792.9717433452606,0.5,16
example_euf3.py,12.0*x1*x2,2,21192,1146.0928039550781,1853.9208250045776,0.5,16
example_euf3.py,16.0*x1*x2,2,34120,1845.7695167064667,3027.5416164398193,0.5,16
